method,evaluation_domain,dimension,level,samples,devices,device_macro_mae,point_mae,rmse,bias,p90_absolute_error,worst_device_mae
multi_expert,v15,mode,late_knee,2607,35,10.426031112670898,10.755365371704102,14.23276319024343,-4.290505189478603,25.766323852539067,26.06568145751953
multi_expert,v15,lifetime_quartile,Q1,2844,80,9.51147174835205,9.515617370605469,12.772370440795404,8.163959740659775,19.669999694824224,27.99983024597168
multi_expert,v15,lifetime_quartile,Q2,4003,80,7.750331878662109,7.730299949645996,9.842626527125676,3.5225413616317645,15.409598922729494,21.159156799316406
multi_expert,v15,lifetime_quartile,Q3,5029,80,8.667991638183594,8.664155960083008,11.803968365901957,0.14797407131494691,18.146518707275387,37.03445053100586
multi_expert,v15,lifetime_quartile,Q4,6371,80,12.037786483764648,12.202641487121582,15.58343099580895,-9.263903639280914,27.553050994873047,26.06568145751953
multi_expert_target_only,v10,overall,all,22185,320,6.4260993003845215,6.908261299133301,9.424548656639523,-2.348211536273538,15.26849822998048,24.064176559448242
multi_expert_target_only,v10,cycle,7-15,2880,320,10.580833435058594,10.580833435058594,13.916426572364488,-4.578607951932483,23.558209228515622,44.21171188354492
multi_expert_target_only,v10,rul,>60,3674,210,10.016551971435547,13.633225440979004,16.48290101357347,-12.90593649864716,26.414829254150405,33.52093505859375
multi_expert_target_only,v10,mode,long_no_knee,6269,68,10.217351913452148,10.645759582519531,13.583235983984164,-9.963773287867204,22.367516326904294,24.064176559448242
multi_expert_target_only,v10,mode,regular_no_knee,11414,183,4.978974342346191,4.994851589202881,6.434908370472534,0.21826661723454235,10.46368865966797,14.968177795410156
multi_expert_target_only,v10,mode,late_knee,4502,69,6.52781867980957,6.55492639541626,8.706041252896298,1.7495616704344696,14.522610473632813,15.609892845153809
multi_expert_target_only,v10,lifetime_quartile,Q1,3938,80,5.703486442565918,5.633377552032471,7.406994511030764,4.256471114936003,12.617733573913574,14.991870880126953
multi_expert_target_only,v10,lifetime_quartile,Q2,5006,80,4.86171817779541,4.858852863311768,6.303728379487572,1.9428567619167516,10.233194351196289,12.671847343444824
multi_expert_target_only,v10,lifetime_quartile,Q3,5869,80,5.317779541015625,5.326962471008301,6.7046495587314485,-1.6307140428501168,10.767908096313475,12.483016014099121
multi_expert_target_only,v10,lifetime_quartile,Q4,7372,80,9.821413040161133,10.239850997924805,13.237046236187739,-9.361412970091475,21.996093750000004,24.064176559448242
multi_expert_target_only,v15,overall,all,18247,320,9.603270530700684,9.819136619567871,13.034412742297942,-0.479837075347439,21.387180328369144,38.7508659362793
multi_expert_target_only,v15,cycle,7-15,2880,320,13.917610168457031,13.917609214782715,17.78987502142265,0.9291876988278495,28.240913772583006,64.63814544677734
multi_expert_target_only,v15,rul,>60,1711,126,14.958308219909668,17.117647171020508,20.046497920987964,-14.76195987966728,31.56900978088379,40.243228912353516
multi_expert_target_only,v15,mode,long_no_knee,3828,48,12.265907287597656,12.415666580200195,15.558486084171737,-10.680005215645584,26.336591339111333,23.051864624023438
multi_expert_target_only,v15,mode,regular_no_knee,9671,205,8.993160247802734,8.864822387695312,11.781431795991413,3.7687037863579214,17.909428596496582,36.961055755615234
multi_expert_target_only,v15,mode,early_knee,2141,32,9.380274772644043,9.2567777633667,13.107363872593673,2.823623153886078,23.035175323486328,38.7508659362793
multi_expert_target_only,v15,mode,late_knee,2607,35,9.729034423828125,10.00849723815918,13.330570353489353,-3.9758491134296032,22.739771270751955,25.585073471069336
multi_expert_target_only,v15,lifetime_quartile,Q1,2844,80,9.933753967285156,9.970587730407715,13.815371469724337,8.737478706820667,21.346651840209965,36.961055755615234
multi_expert_target_only,v15,lifetime_quartile,Q2,4003,80,8.302993774414062,8.26935863494873,10.689327575163183,4.127031230521506,16.63528861999512,20.894691467285156
multi_expert_target_only,v15,lifetime_quartile,Q3,5029,80,8.752164840698242,8.757190704345703,11.787842405663714,1.0082877383930922,18.186200714111322,38.7508659362793
multi_expert_target_only,v15,lifetime_quartile,Q4,6371,80,11.424169540405273,11.563533782958984,14.829574911965091,-8.663657449100478,25.686748504638672,25.585073471069336
pooled,v10,overall,all,22185,320,6.395618438720703,6.927578926086426,9.536134915342066,-2.6535549359281494,15.485510444641115,24.761489868164062
pooled,v10,cycle,7-15,2880,320,10.912960052490234,10.912960052490234,14.307609099908662,-5.0584241390228275,23.183772659301756,47.7923698425293
pooled,v10,rul,>60,3674,210,10.294565200805664,14.09630298614502,16.978997658606218,-13.526566659618995,26.851609802246095,35.688838958740234
pooled,v10,mode,long_no_knee,6269,68,10.45483112335205,10.924572944641113,13.946305481942218,-10.38692173177029,22.905381011962888,24.761489868164062
pooled,v10,mode,regular_no_knee,11414,183,4.8599700927734375,4.884417533874512,6.409576356217177,-0.01950014082462624,10.61895923614502,15.011662483215332
pooled,v10,mode,late_knee,4502,69,6.468041896820068,6.541860103607178,8.551488731321808,1.4369326277819277,13.608013916015626,15.984970092773438
pooled,v10,lifetime_quartile,Q1,3938,80,5.5244221687316895,5.496640682220459,7.352356483917869,3.917015119577314,12.854747390747074,15.333137512207031
pooled,v10,lifetime_quartile,Q2,5006,80,4.8814592361450195,4.888012886047363,6.214445006517568,1.5893948328671244,10.292713165283203,14.856532096862793
pooled,v10,lifetime_quartile,Q3,5869,80,5.131720066070557,5.143517017364502,6.604584692595206,-1.6580820175833222,10.733544921875,12.412763595581055
pooled,v10,lifetime_quartile,Q4,7372,80,10.04487419128418,10.497271537780762,13.558630012321625,-9.837160738822268,22.536173629760746,24.761489868164062
pooled,v15,overall,all,18247,320,9.12674617767334,9.526695251464844,12.39772945674518,-2.2111151393991095,20.39206619262696,27.786840438842773
pooled,v15,cycle,7-15,2880,320,13.14293098449707,13.14293098449707,16.466862799086776,-3.005835470226076,27.162236213684082,48.72731018066406
pooled,v15,rul,>60,1711,126,16.449981689453125,19.3559513092041,21.9698305394388,-18.502321552073724,33.00154113769531,42.20429229736328
pooled,v15,mode,long_no_knee,3828,48,13.54677963256836,13.697016716003418,16.761091280583035,-12.570672242276471,27.916862106323247,23.039287567138672
pooled,v15,mode,regular_no_knee,9671,205,8.149725914001465,8.047332763671875,10.044458043342855,2.2831879347214565,16.343517303466797,27.116846084594727
pooled,v15,mode,early_knee,2141,32,8.02852725982666,8.023821830749512,11.214148617962138,0.20347946751401672,17.808435440063477,27.36910629272461
pooled,v15,mode,late_knee,2607,35,9.791625022888184,10.1253023147583,13.629024952552857,-5.654792735642476,22.446385955810552,27.786840438842773
pooled,v15,lifetime_quartile,Q1,2844,80,8.788579940795898,8.71640682220459,11.012843163601831,7.336972644560448,18.15475463867188,27.116846084594727
pooled,v15,lifetime_quartile,Q2,4003,80,7.5841169357299805,7.564458847045898,9.266598375677898,3.007151796107229,14.98088722229004,19.12062644958496
pooled,v15,lifetime_quartile,Q3,5029,80,7.788356781005859,7.790050506591797,10.232764841605611,-1.355128775085742,15.999906539916992,27.36910629272461
pooled,v15,lifetime_quartile,Q4,6371,80,12.345932006835938,12.492144584655762,15.794663943302552,-10.427759249671402,27.17707061767578,27.786840438842773
pooled_target_only,v10,overall,all,22185,320,6.339974880218506,6.891878604888916,9.558934213346797,-2.6761632304364076,15.432501983642586,23.865629196166992
pooled_target_only,v10,cycle,7-15,2880,320,10.940351486206055,10.940351486206055,14.553530959425723,-5.91822982430458,24.404393768310538,47.97483825683594
pooled_target_only,v10,rul,>60,3674,210,10.655735969543457,14.622186660766602,17.53167516151195,-14.164086825184414,27.734642410278333,34.91244888305664
pooled_target_only,v10,mode,long_no_knee,6269,68,10.483777046203613,10.9444580078125,14.07266276279359,-10.306734972340312,23.042445373535156,23.865629196166992
pooled_target_only,v10,mode,regular_no_knee,11414,183,4.776800632476807,4.817872047424316,6.252833435236972,-0.012117298321567695,10.244527435302736,13.535394668579102
pooled_target_only,v10,mode,late_knee,4502,69,6.402036190032959,6.506958961486816,8.681893567310723,1.1951459612199222,13.88469581604004,16.89980125427246
pooled_target_only,v10,lifetime_quartile,Q1,3938,80,5.333200931549072,5.294667720794678,6.9656202762699175,3.6451420865427,11.963928985595704,14.271723747253418
pooled_target_only,v10,lifetime_quartile,Q2,5006,80,4.742290496826172,4.74699592590332,6.042789164444724,1.6455995895078646,9.944281578063965,12.683877944946289
pooled_target_only,v10,lifetime_quartile,Q3,5869,80,5.169554233551025,5.179656982421875,6.622107765416006,-1.6590155236236401,10.824337863922118,12.437113761901855
pooled_target_only,v10,lifetime_quartile,Q4,7372,80,10.114853858947754,10.564712524414062,13.760404814559122,-9.797390157483191,22.83787918090821,23.865629196166992
pooled_target_only,v15,overall,all,18247,320,9.167035102844238,9.552005767822266,12.379758970845634,-1.914001138512648,20.26640090942383,27.40123748779297
pooled_target_only,v15,cycle,7-15,2880,320,13.11510181427002,13.11510181427002,16.262634082097662,-2.8001347752081025,26.31445198059082,50.436405181884766
pooled_target_only,v15,rul,>60,1711,126,16.29892349243164,19.135976791381836,21.629324531156183,-18.111500274640367,31.657329559326172,44.15950393676758
pooled_target_only,v15,mode,long_no_knee,3828,48,13.468104362487793,13.614633560180664,16.66990868563441,-12.422389815282173,27.80851058959961,24.484224319458008
pooled_target_only,v15,mode,regular_no_knee,9671,205,8.255489349365234,8.159417152404785,10.216546870469939,2.5286927251186655,16.372814178466797,26.019859313964844
pooled_target_only,v15,mode,early_knee,2141,32,7.803272724151611,7.7997283935546875,10.609620437557004,0.49261806580241957,17.435985565185547,21.72341537475586
pooled_target_only,v15,mode,late_knee,2607,35,9.854348182678223,10.191670417785645,13.601850393956187,-4.941140462234645,22.835598182678225,27.40123748779297
pooled_target_only,v15,lifetime_quartile,Q1,2844,80,8.817102432250977,8.769060134887695,11.24587579902587,7.505181584428635,18.128733444213882,26.019859313964844
pooled_target_only,v15,lifetime_quartile,Q2,4003,80,7.858462333679199,7.831339359283447,9.607606965916096,3.165358265072234,15.549076461791994,21.063270568847656
pooled_target_only,v15,lifetime_quartile,Q3,5029,80,7.6927490234375,7.7059245109558105,9.974866045225971,-0.969464344801972,15.695982360839844,21.72341537475586
pooled_target_only,v15,lifetime_quartile,Q4,6371,80,12.299824714660645,12.439851760864258,15.682806643346634,-10.055722515402662,26.576459884643555,27.40123748779297
pooled_wide_control,v10,overall,all,22185,320,6.268915176391602,6.781391620635986,9.260347281232438,-2.394671992232852,15.17195110321045,24.415830612182617
pooled_wide_control,v10,cycle,7-15,2880,320,10.4129056930542,10.4129056930542,13.545619565200854,-3.8050496333175237,22.386160659790036,47.592254638671875
pooled_wide_control,v10,rul,>60,3674,210,9.830742835998535,13.234495162963867,16.04416448592293,-12.177181620797711,25.959440994262714,32.630706787109375
pooled_wide_control,v10,mode,long_no_knee,6269,68,10.172630310058594,10.641145706176758,13.48830991680298,-10.156773962051956,22.418010711669915,24.415830612182617
pooled_wide_control,v10,mode,regular_no_knee,11414,183,4.710280418395996,4.72870397567749,6.179855172736991,0.21497187776116036,10.108291625976564,14.962702751159668
pooled_wide_control,v10,mode,late_knee,4502,69,6.555546283721924,6.610928535461426,8.509515469871298,1.7977185267996438,13.604872512817384,15.695798873901367
pooled_wide_control,v10,lifetime_quartile,Q1,3938,80,5.436770439147949,5.414651870727539,7.229340687843622,3.800061096843576,12.02487144470215,14.962702751159668
pooled_wide_control,v10,lifetime_quartile,Q2,5006,80,4.882096290588379,4.885501861572266,6.258598597393936,1.8919500001325542,10.247380256652832,13.813539505004883
pooled_wide_control,v10,lifetime_quartile,Q3,5869,80,4.989881992340088,4.999099254608154,6.353668297319054,-1.2309592063675994,10.315217971801758,11.293769836425781
pooled_wide_control,v10,lifetime_quartile,Q4,7372,80,9.766912460327148,10.217815399169922,13.092333007117894,-9.541107008348881,21.871813964843753,24.415830612182617
pooled_wide_control,v15,overall,all,18247,320,9.84163761138916,10.161731719970703,13.888325825067295,-0.6597630233679098,21.932852172851568,39.148780822753906
pooled_wide_control,v15,cycle,7-15,2880,320,14.680249214172363,14.680249214172363,19.614456964939173,1.1375921395089892,31.685808753967283,71.59954071044922
pooled_wide_control,v15,rul,>60,1711,126,16.03439712524414,18.063791275024414,21.402292760014763,-13.722411530816297,34.0660343170166,44.22194290161133
pooled_wide_control,v15,mode,long_no_knee,3828,48,13.083165168762207,13.20150089263916,16.61024804132831,-10.319830502516735,28.20490603446961,24.64859390258789
pooled_wide_control,v15,mode,regular_no_knee,9671,205,9.098569869995117,9.049225807189941,12.71318077422742,3.3719884531497155,17.53444480895996,39.148780822753906
pooled_wide_control,v15,mode,early_knee,2141,32,8.970746994018555,8.903497695922852,12.887512383479862,1.9076614005718204,20.56033706665039,31.96625518798828
pooled_wide_control,v15,mode,late_knee,2607,35,10.544601440429688,10.858590126037598,14.455565827708492,-3.5401565449924637,26.187739562988284,25.521942138671875
pooled_wide_control,v15,lifetime_quartile,Q1,2844,80,9.658960342407227,9.7494478225708,14.385166546340475,7.895300686178643,19.08097076416016,39.148780822753906
pooled_wide_control,v15,lifetime_quartile,Q2,4003,80,8.489778518676758,8.442941665649414,11.394963330578562,3.930583445929957,16.618160438537604,31.828067779541016
pooled_wide_control,v15,lifetime_quartile,Q3,5029,80,9.093141555786133,9.094687461853027,12.751784936027834,0.4714928322365564,19.001737594604492,35.666053771972656
pooled_wide_control,v15,lifetime_quartile,Q4,6371,80,12.124667167663574,12.267998695373535,15.815308612581262,-8.255877260439737,27.867794036865234,25.521942138671875
v10_only,v10,overall,all,22185,320,4.514986991882324,4.771945476531982,6.460271979735596,-0.8673998115814724,10.547820281982423,17.04529571533203
v10_only,v10,cycle,7-15,2880,320,7.697767734527588,7.69776725769043,10.064609040494775,-0.7745857742097643,16.351016998291012,33.20523452758789
v10_only,v10,rul,>60,3674,210,7.936718940734863,8.445311546325684,10.426293927064238,-5.762816020568947,16.82609024047853,35.0203857421875
